Complexity,Loss,Equation
1,0.24185773035820668,"x0"
2,0.033461746786845485,"0.6326440713290775"
4,0.01269388290795351,"1.1326440713292978 - x0"
5,1.1886423742847333e-23,"exp(x0 * -0.9999999999574982)"
8,1.5304699462662083e-24,"exp(-2.811847395813683e-12 - x0) + 1.3783185960727213e-11"
11,1.1766127391344763e-24,"exp((-2.2702835238578727e-12 - x0) + -2.8220135117930877e-12) - -1.4983218034029008e-11"
16,1.1437461307703014e-24,"((9.876526679830633e-12 - (x0 * 0.9999999999956921)) + exp((x0 - x0) - x0)) + x0"
18,1.1384562059242574e-24,"(x0 + (exp((x0 - x0) - x0) - ((x0 + x0) * 0.49999999999796146))) - -1.0010658968440111e-11"
20,7.538355344313844e-25,"(exp(exp((0.0 - x0) - x0)) * -3.0012185469419625e-12) + (exp(-0.0 - x0) - -1.6733190815077386e-11)"
22,7.253125858799044e-25,"((exp(exp(((0.1385367078639676 - x0) - x0) - x0)) * -2.811847395813683e-12) + exp(-0.0 - x0)) - -1.6595033356540895e-11"
27,7.147804407329816e-25,"(exp(-0.0 - x0) - -1.6595033356540895e-11) + (exp(exp((0.1385367078639676 - x0) - (((x0 + x0) - x0) * 1.9347521954551985))) * -2.811847395813683e-12)"
30,7.065566295828523e-25,"(exp(-0.0 - x0) - -1.6595033356540895e-11) + (exp(exp(((((0.1581256010633611 * x0) - 0.1581256010633611) * (x0 + -0.40406954252702576)) - x0) - x0)) * -2.811847395813683e-12)"
33,7.029510454434889e-25,"((x0 + (((0.2431913416702546 - ((x0 + x0) + x0)) * exp(exp(0.08404275452548726 - x0) - x0)) * -2.1114195179554666e-12)) + (exp(0.0 - x0) - x0)) - -9.633487479146903e-12"
35,6.939408739847635e-25,"(exp(-0.0 - x0) - -1.6595033356540895e-11) + (exp(exp((((x0 - 0.1581256010633611) - ((x0 * x0) * x0)) * ((x0 + -0.40406954252702576) - x0)) - (x0 + x0))) * -2.811847395813683e-12)"
37,6.937333556187384e-25,"(exp(-0.0 - x0) - -1.6595033356540895e-11) + (exp(exp(((0.1581256010633611 - x0) - ((-0.38364881105222964 * x0) * ((x0 + -0.40406954252702576) - (x0 + -0.8598895939955361)))) - (x0 + x0))) * -2.811847395813683e-12)"
39,5.939099464028296e-25,"x0 + (((exp((x0 - x0) - x0) - x0) - -9.633487479146903e-12) + (exp(exp((0.569679528143952 - x0) - x0)) * ((0.1615820573039126 - ((x0 + ((x0 * -0.48409565520836584) * x0)) + x0)) * -2.1114195179554666e-12)))"
41,4.435235826962787e-25,"((x0 + (exp(-0.0 - x0) - x0)) - -9.633487479146903e-12) + (exp(exp(1.6093036344361806 - exp(x0 + (x0 * x0)))) * (((x0 - ((x0 + (x0 + x0)) + -0.31628459594097597)) - 0.08160928436634202) * -2.1114195179554666e-12))"
45,4.113970476107885e-25,"((x0 + (exp(-0.0 - x0) - x0)) - -9.633487479146903e-12) + (exp(exp((1.6093036344361806 - (x0 * x0)) - exp((x0 + x0) * x0))) * (((x0 - (x0 + (x0 + (x0 + -0.31628459594097597)))) - 0.08160928436634202) * -2.1114195179554666e-12))"
