Complexity,Loss,Equation
1,0.4491107551795093,"x0"
2,0.01621113612895883,"1.1483926593283118"
5,0.0013649831258691853,"exp(x0 * 0.29717797124063966)"
6,0.00023839041907119544,"exp(square(x0 * 0.6122716607787562))"
7,0.00023839041907119403,"cube(exp(square(x0 * 0.35349520818777)))"
8,0.00023839041907118823,"cube(cube(exp(square(x0) * 0.04165295415183708)))"
9,3.291374954091795e-5,"1.0069777011094754 - ((x0 * -0.42211299086437704) * x0)"
10,7.5534569668465854e-6,"1.9976286794554428 - exp(x0 * (x0 * -0.5236308359263931))"
12,1.4048269481136527e-7,"square(exp(square(x0) * ((x0 * -0.0997163582648244) - -0.27296656889251464)))"
13,1.4048269481130547e-7,"square(square(exp(((x0 * -0.049858179666744606) - -0.1364832848644267) * square(x0))))"
15,6.228844284087028e-8,"square(exp((square(x0) * ((x0 * -0.10138152785915014) - -0.2748030592583442)) - 0.0002670101179512286))"
16,6.228439328316301e-8,"square(square(exp(square(x0) * ((x0 * -0.0506926325284295) - -0.13740276561505158)) * 0.9998662120667655))"
18,3.388575730436151e-8,"square(square(exp((x0 * -0.0012916316634264781) - (square(x0) * ((x0 * 0.052393978070636074) - 0.14021312721165916)))))"
23,3.3885752413660633e-8,"square(square(exp((x0 * ((x0 + -0.6044685189675291) * 0.0021369727996663535)) - (((x0 * 0.052393967266172785) - 0.13807627037893547) * square(x0)))))"
24,2.1680232074099654e-8,"square(square(exp((x0 * (cube(x0 + -0.8455251384412349) * 0.003233315558849502)) - (((x0 * 0.05046570968749478) - 0.13702436358353468) * square(x0)))))"
26,2.1679653282330813e-8,"square(square(exp(((cube(x0 + -0.8455071315549557) * (x0 + x0)) * 0.001618594335349887) - (((x0 * 0.05046674051836931) - 0.13702522273335976) * square(x0)))))"
27,2.1653140163480774e-8,"square(square(exp((((x0 * cube(x0 + -0.8442293361910084)) * -0.0026293123041525516) - (square(x0) * ((x0 * -0.04072556712375864) - -0.11057778868312565))) * -1.239164992561105)))"
29,1.693003674611528e-8,"square(square(exp((((cube(x0 + -0.8454678853820682) * x0) * 0.00643723644891411) * (x0 + 0.30028482779410975)) - (((x0 * 0.050692475436023565) - 0.13721999492288584) * square(x0)))))"
32,1.4680845396555594e-9,"square(square(exp((cube(x0 + -0.7670771538728294) * (square(x0 + (x0 + x0)) * 0.0027796267841629614)) - ((((x0 * -0.019278117117617555) - -0.05171152389041044) * square(x0)) * -2.662543892530996))))"
41,1.3620973673307448e-9,"square(square(exp(((x0 + (x0 * 11.573846160853975)) * ((((x0 + x0) + (x0 * 0.6824531456678156)) * 0.0007199257409444377) * cube(x0 + -0.7708669607907663))) - (square(x0) * (((x0 * -0.01926282410488985) - -0.05170166143961468) * -2.662540003409759)))))"
42,1.0233865559890435e-9,"square(square(exp((((((x0 + x0) + (x0 * 0.6824531059689852)) * 0.0005340882760393606) * (exp(x0) + (x0 * 11.5738461523848))) * cube(x0 + -0.7708733205853001)) - (square(x0) * (((x0 * -0.019204365577172013) - -0.0516554187605418) * -2.662538608020543)))))"
